[2026-02-14 13:31:03] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=63:"MESSAGE_SENT_HANDLER" Seq=130 Len=22]
[2026-02-14 13:31:03] debug: 	zh:ember:ezsp: ezspMessageSentHandler: status=OK type=DIRECT indexOrDestination=24257 apsFrame={"profileId":260,"clusterId":1029,"sourceEndpoint":1,"destinationEndpoint":1,"options":4352,"groupId":0,"sequence":64} messageTag=37
[2026-02-14 13:31:13] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-14 13:31:13] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=3](ackRx=3 frmTx=3)
[2026-02-14 13:31:13] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=3 frmNum=4](frmRx=4) Added to rxQueue
[2026-02-14 13:31:13] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=5](ackRx=3)
[2026-02-14 13:31:13] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=69:"INCOMING_MESSAGE_HANDLER" Seq=130 Len=33]
[2026-02-14 13:31:13] debug: 	zh:ember:ezsp: ezspIncomingMessageHandler: type=UNICAST apsFrame={"profileId":260,"clusterId":1029,"sourceEndpoint":1,"destinationEndpoint":1,"options":320,"groupId":0,"sequence":83} packetInfo:{"senderShortId":24257,"senderLongId":"0xffffffffffffffff","bindingIndex":255,"addressIndex":255,"lastHopLqi":172,"lastHopRssi":-57,"lastHopTimestamp":0} messageContents=08220a0000218a16
[2026-02-14 13:31:13] debug: 	zh:controller: Received payload: clusterID=1029, address=24257, groupID=0, endpoint=1, destinationEndpoint=1, wasBroadcast=false, linkQuality=172, frame={"header":{"frameControl":{"frameType":0,"manufacturerSpecific":false,"direction":1,"disableDefaultResponse":false,"reservedBits":0},"transactionSequenceNumber":34,"commandIdentifier":10},"payload":[{"attrId":0,"dataType":33,"attrData":5770}],"command":{"ID":10,"name":"report","parameters":[{"name":"attrId","type":9},{"name":"dataType","type":8},{"name":"attrData","type":1000}]}}
[2026-02-14 13:31:13] debug: 	zh:controller:endpoint: ZCL command 0x18690afffe16c68c/1 msRelativeHumidity.defaultRsp({"cmdId":10,"statusCode":0}, {"timeout":10000,"disableResponse":false,"disableRecovery":false,"disableDefaultResponse":true,"direction":1,"reservedBits":0,"transactionSequenceNumber":34,"writeUndiv":false})
[2026-02-14 13:31:13] debug: 	zh:controller:endpoint: Request Queue (0x18690afffe16c68c/1): send defaultRsp request immediately (sendPolicy=undefined)
[2026-02-14 13:31:13] debug: 	zh:ember: ~~~> [ZCL to=0x18690afffe16c68c:24257 apsFrame={"profileId":260,"clusterId":1029,"sourceEndpoint":1,"destinationEndpoint":1,"options":4352,"groupId":0,"sequence":0} header={"frameControl":{"reservedBits":0,"frameType":0,"direction":1,"disableDefaultResponse":true,"manufacturerSpecific":false},"transactionSequenceNumber":34,"commandIdentifier":11}]
[2026-02-14 13:31:13] debug: 	zh:ember:ezsp: ===> [FRAME: ID=52:"SEND_UNICAST" Seq=131 Len=26]
[2026-02-14 13:31:13] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=3 frmRx=5](ackRx=3)
[2026-02-14 13:31:13] debug: 	z2m: Received Zigbee message from 'Sonoff SNZB-02D 4', type 'attributeReport', cluster 'msRelativeHumidity', data '{"measuredValue":5770}' from endpoint 1 with groupID 0
[2026-02-14 13:31:13] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Sonoff SNZB-02D 4', payload '{"battery":100,"comfort_humidity_max":60,"comfort_humidity_min":40,"comfort_temperature_max":27,"comfort_temperature_min":19,"humidity":57.7,"humidity_calibration":0,"linkquality":172,"temperature":15.7,"temperature_calibration":0,"temperature_units":"celsius","update":{"installed_version":8960,"latest_release_notes":null,"latest_source":"https://raw.githubusercontent.com/Koenkk/zigbee-OTA/master/images/Sonoff/snzb-02d_v2.3.0.ota","latest_version":8960,"state":"idle"}}'
[2026-02-14 13:31:13] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-14 13:31:13] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=4](ackRx=3 frmTx=4)
[2026-02-14 13:31:13] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=4 frmNum=5](frmRx=5) Added to rxQueue
[2026-02-14 13:31:13] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=6](ackRx=4)
[2026-02-14 13:31:13] debug: 	zh:ember:ezsp: <=== [FRAME: ID=52:"SEND_UNICAST" Seq=131 Len=7]
[2026-02-14 13:31:13] debug: 	zh:ember:ezsp: ~~~> [SENT type=DIRECT apsSequence=65 messageTag=38 status=OK]
[2026-02-14 13:31:13] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-14 13:31:13] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=4](ackRx=4 frmTx=4)
[2026-02-14 13:31:13] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=4 frmNum=6](frmRx=6) Added to rxQueue
[2026-02-14 13:31:13] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=7](ackRx=4)
[2026-02-14 13:31:13] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=63:"MESSAGE_SENT_HANDLER" Seq=131 Len=22]
[2026-02-14 13:31:13] debug: 	zh:ember:ezsp: ezspMessageSentHandler: status=OK type=DIRECT indexOrDestination=24257 apsFrame={"profileId":260,"clusterId":1029,"sourceEndpoint":1,"destinationEndpoint":1,"options":4352,"groupId":0,"sequence":65} messageTag=38
[2026-02-14 13:31:20] debug: 	zh:controller:endpoint: ZCL command 0xa4c138247a1a948b/1 haElectricalMeasurement.read(["rmsVoltage","rmsCurrent","activePower"], {"timeout":10000,"disableResponse":false,"disableRecovery":false,"disableDefaultResponse":true,"direction":0,"reservedBits":0,"writeUndiv":false})
[2026-02-14 13:31:20] debug: 	zh:ember: ~~~> [ZCL to=0xa4c138247a1a948b:7447 apsFrame={"profileId":260,"clusterId":2820,"sourceEndpoint":1,"destinationEndpoint":1,"options":4416,"groupId":0,"sequence":0} header={"frameControl":{"reservedBits":0,"frameType":0,"direction":0,"disableDefaultResponse":true,"manufacturerSpecific":false},"transactionSequenceNumber":237,"commandIdentifier":0}]
[2026-02-14 13:31:20] debug: 	zh:ember:ezsp: ===> [FRAME: ID=52:"SEND_UNICAST" Seq=132 Len=30]
